rank   rating    name
  310  0.163100  Parkertwo
  311  0.163088  GrayWasp
  312  0.162998  Ninjakiak
  313  0.162918  FyreMatrix
  314  0.162834  Eyepack
  315  0.161914  Reinblut
  316  0.161754  alelau712
  317  0.160973  Synzoku
  318  0.160255  burado_tem
  319  0.160251  ykzu
  320  0.160101  TheRoadstr
  321  0.160056  Linix_SyNc
  322  0.159911  klebty
  323  0.159264  o7Moon
  324  0.159144  Papa_Schlumpff
  325  0.158128  OhZelly
  326  0.157859  Erenomm
  327  0.156907  not_cyb3r
  328  0.156771  Peetx
  329  0.156150  wendii
  330  0.156109  _AmazingAstro
  331  0.155978  Husker247
  332  0.155539  Johannesstyle
  333  0.155200  pycat
  334  0.155076  Big_Boi_Philip
  335  0.155047  Parabolum
  336  0.154956  EpicGamerGR
  337  0.154657  turtle2wd
  338  0.153913  Wolxifie
  339  0.153470  DrGuy_
  340  0.153305  shiawei_
  341  0.152962  PandemFc
  342  0.152821  _xyr
  343  0.152235  Champ2Cotons
  344  0.152147  Eating57RocksRn
  345  0.150632  Owen_Boys
  346  0.150528  EpicEfeathers
  347  0.150422  FlashTerror
  348  0.149263  GentooGamer
  349  0.149160  yeahw
  350  0.149034  Fishpaii
  351  0.148872  zfalstic
  352  0.148462  SonicG4mer
  353  0.148461  gaming_Pommes
  354  0.147929  Toxiccc7
  355  0.147361  MrxyTheFirst
  356  0.147039  Kiqo_
  357  0.146885  Kenyoooki
  358  0.145841  kandakyy
  359  0.145831  HockeySav05
  360  0.145548  NorthWay13
  361  0.145335  Petoo_
  362  0.144953  KrisusQ
  363  0.144046  Wilnaut
  364  0.143597  Phillonoo
  365  0.143054  milangamer2010
  366  0.142662  prioritea
  367  0.142234  MightyMiner3434
  368  0.141397  montymoo2
  369  0.141324  Cyc22L
  370  0.141045  lON2O
  371  0.140536  AwsomeNoah
  372  0.140057  FplaysYT
  373  0.139871  biloblue
  374  0.139624  Dylian_
  375  0.139512  vibesnek
  376  0.139275  Trasonist
  377  0.138673  umendan
  378  0.138489  Senneser
  379  0.138435  Alphagamer456
  380  0.138427  drxxppy
  381  0.137797  GoCryBabe
  382  0.137762  Kowaga
  383  0.137404  Ozzysdn
  384  0.137107  8_sta
  385  0.136684  Teddy1424
  386  0.136512  mXzm3R
  387  0.135738  ostriysokol09
  388  0.135292  Wackymaxitaxi
  389  0.134591  Citizer
  390  0.133828  Awesomeelite53
  391  0.133825  xoez
  392  0.133820  MarcDasSchnitzel
  393  0.133782  Villumlyn
  394  0.133781  sinuet
  395  0.133709  Puszmen12
  396  0.133705  griinzy
  397  0.133313  Yelf0
  398  0.133145  Wayzir
  399  0.132939  KOJX
  400  0.132938  TheBucuc
  401  0.132550  ninlego
  402  0.132428  oLaww
  403  0.132134  bombiv2
  404  0.132133  Vavou45
  405  0.131895  Swoozegames
  406  0.131857  HeyItzAlex
  407  0.131594  PointyPlanes
  408  0.131484  Zoomerkid7
  409  0.131455  h778
  410  0.131434  crewly
  411  0.131026  Firerise9402
  412  0.130941  LokStain
  413  0.130906  Kakorn_
  414  0.130438  BeligerentBovine
  415  0.130343  ennett2
  416  0.130251  hungerplayer95
  417  0.130094  ninjababy118
  418  0.130017  Ocgreen43
  419  0.129782  RightNoob
  420  0.129721  _Jairo
  421  0.129659  SimonCrafter11
  422  0.129616  L9D
  423  0.129260  _Koldun_
  424  0.129066  Ivounomeg
  425  0.128802  Laser_HDyt
  426  0.128232  diep_io
  427  0.128222  LolligeJok
  428  0.128111  Byoo_
  429  0.128085  KrumKat
  430  0.127626  Ichinyan
  431  0.127012  ovwn
  432  0.126213  Sabotage426
  433  0.125714  DreamCityToger
  434  0.125124  davisssimq
  435  0.124951  JahariXscape
  436  0.124363  LoganW180
  437  0.123384  razista0
  438  0.123225  ekiimus
  439  0.123180  OdinObliterator
  440  0.123040  amacd_
  441  0.122820  gap98
  442  0.122757  kyon_liao
  443  0.122418  caprice_seune
  444  0.122348  koksikofski
  445  0.122017  Jouner
  446  0.121962  notnowa
  447  0.121501  Minecraft_YJs
  448  0.121245  Your_Dad_is_here
  449  0.121139  L10_
  450  0.120936  Appelflap2_0
  451  0.120855  Probably33
  452  0.120557  RileyDStroyer
  453  0.120252  feNsterlol
  454  0.120160  chair994
  455  0.120029  Gabe_TM
  456  0.119277  matva80
  457  0.119124  Nugg1ess
  458  0.118981  Sander0_
  459  0.118937  TheFlyingS
  460  0.118424  Omereise
  461  0.118352  Mikyu__
  462  0.118340  Semicolon_
  463  0.118325  Malji
  464  0.118259  _Jgamer_
  465  0.118125  UncleBuster
  466  0.118125  Vader132
  467  0.118083  arceus361
  468  0.117812  bubisen
  469  0.117377  Hunter85
  470  0.116742  CaptSadBoi
  471  0.116442  Littlefishy3511
  472  0.116048  Sephorade
  473  0.115857  PilqO_
  474  0.115516  ItzR
  475  0.115491  Kawaii_Tchaika
  476  0.115386  NelLexvul
  477  0.115246  Syatov
  478  0.115241  Coloory
  479  0.114942  Kazinkaa
  480  0.114695  AK5__
