rank   rating    name
  311  0.150463  ScytheAge
  312  0.149091  oLaww
  313  0.149043  Prostyq
  314  0.148829  AvatarAa
  315  0.148010  Byoo_
  316  0.147922  17Se7enteen
  317  0.147897  HeyItzShoto
  318  0.147891  WorldAlex6407
  319  0.147821  Toffee_Playz32
  320  0.147564  Guep
  321  0.147422  __Canna
  322  0.147097  Ulyanov
  323  0.146556  Nonkko11
  324  0.145911  Sora_Miyako
  325  0.145749  anti_taaco
  326  0.145536  CurtRain6429782
  327  0.144888  lostonluna
  328  0.144790  RiversBend
  329  0.144570  Arqu1n
  330  0.144408  Kribuo
  331  0.144357  mcsoccerbiz
  332  0.143237  MrIvory124
  333  0.143189  Wuzax_
  334  0.142938  TheFlyingS
  335  0.142531  BrightyLighty
  336  0.142201  EthaN2910
  337  0.142070  misrepresenting
  338  0.141595  mruczyslav
  339  0.141298  Pxdro
  340  0.140716  Bafy78
  341  0.140669  KleineDraak
  342  0.140312  trylapaak
  343  0.139928  Gentilcanard55
  344  0.139921  OhZelly
  345  0.139852  Red_Ice_DRHi
  346  0.139505  BigMikeEk9
  347  0.139319  Stuntlover
  348  0.139178  ironmoll
  349  0.139063  eesu_ace
  350  0.138907  Justufy
  351  0.138521  DatTastyBagel
  352  0.138433  _phobia_
  353  0.138387  beanfamily41
  354  0.138368  Shiger_Tark
  355  0.138341  CGQ_
  356  0.138269  BoatHUD
  357  0.137708  Yukari_Yakumo
  358  0.137618  Telcel
  359  0.137557  KEL0002
  360  0.137090  TrippyHen
  361  0.137073  ILostMyMain
  362  0.136943  IkorEq
  363  0.136704  CzarekSanchez
  364  0.136623  Wqsk
  365  0.136506  Andronicus
  366  0.136489  Wandering15
  367  0.136059  TheXadros
  368  0.135646  JDiamond972
  369  0.135531  eXCeeD___
  370  0.134972  MatFG
  371  0.134884  Debatably
  372  0.134713  Hedralys
  373  0.134560  AwRaiy
  374  0.133943  Jonago06
  375  0.133859  Equiii
  376  0.133360  0AKB0AT
  377  0.133291  Toposauro
  378  0.132920  Lampeyre
  379  0.132863  lucasbeer
  380  0.132411  Lualt
  381  0.132231  RoryBot
  382  0.131995  ThatGuyBest
  383  0.131599  VidTDM_XD
  384  0.131401  Lelvent
  385  0.131349  Chocolatezera
  386  0.131317  nasral
  387  0.131186  SamikB
  388  0.131062  Mishutka48
  389  0.130702  ZzEste
  390  0.130639  _zupi
  391  0.130554  0mby
  392  0.130290  sakapaka1
  393  0.129130  woolfys
  394  0.128836  Inplace_
  395  0.128517  ultrastas1337
  396  0.128492  Foxosaurus_
  397  0.128302  BaltikaDevyatka_
  398  0.128225  Zapolique
  399  0.127927  Kloofel
  400  0.127847  Lorem_V
  401  0.127734  Luk_y7
  402  0.127431  Hydrys34
  403  0.127409  Hexatic_
  404  0.127250  Biera_
  405  0.127123  GlaiveTordue
  406  0.127052  4ltti
  407  0.126798  coolkiller50
  408  0.126471  Digo0109
  409  0.126471  Munchie_MC
  410  0.125643  ghostlyfan
  411  0.125381  FyreMatrix
  412  0.125378  pockey333_sovi
  413  0.125191  _garlicbreath_
  414  0.125174  PAPAFART
  415  0.124887  crcivello
  416  0.124866  1thGrader
  417  0.124697  Voltt
  418  0.124071  Voltpro1557
  419  0.123998  CygnusGD
  420  0.123633  Theawsomenutz
  421  0.123529  kr1nd
  422  0.123368  SirSpacelot
  423  0.122950  altimer33
  424  0.122695  Paxmen
  425  0.122670  scotus1
  426  0.122647  Vol_de_nez
  427  0.122355  SirWElias
  428  0.122218  TaakTM
  429  0.121857  happybunny127
  430  0.121430  Dylqn
  431  0.121239  WitheredFlux
  432  0.121117  Crouty
  433  0.120742  Fernim
  434  0.120598  Great__Nate
  435  0.120589  Olivears
  436  0.120486  AysNik
  437  0.120360  Humris
  438  0.120340  Withrowo
  439  0.119500  CaffeinatedFrog
  440  0.119498  Kaimaxon
  441  0.119478  F1rret
  442  0.119096  CemBolukbasi
  443  0.118890  MileMaster
  444  0.118733  NippuKappu
  445  0.118030  barros_7021
  446  0.117971  Hydro_98
  447  0.117734  H3DG3_Boi
  448  0.117689  RedPand
  449  0.117603  okay879
  450  0.117524  Wi9901z
  451  0.117251  ReallyBadGamer
  452  0.116744  vonRadstein
  453  0.116435  BadPlayer07
  454  0.116239  Galanary
  455  0.116041  MorainCarium
  456  0.115134  MrCube__
  457  0.114839  PresidentWM
  458  0.114678  ConcaveRabbit84
  459  0.114666  MaxDash42
  460  0.114614  Ohrenpfeifen
  461  0.114300  LingLinggamechan
  462  0.114253  992GT3
  463  0.114182  Sempower09
  464  0.113837  SkyWar9
  465  0.113802  FreePancake
  466  0.113662  therealhyperr
  467  0.113479  FrostedPenguinx
  468  0.113146  LeonxThexKing09
  469  0.112908  Lordcurryman
  470  0.112484  duckyucky
  471  0.112245  NoodleDada
  472  0.112218  Goofyzeke
  473  0.112081  VictorXcraft
  474  0.112074  ToxikgamingXDGG
  475  0.111636  bluetoothenjoyer
  476  0.111547  BrAstroo
  477  0.111513  Nitram7
  478  0.111296  DevilPumpkin
  479  0.110703  Sutoruan
  480  0.110696  le_chou_fleur
  481  0.110673  AdamixGaming
  482  0.110575  Edeleo
  483  0.110341  godnxss
  484  0.110268  ThomasToSpace
  485  0.110154  SirPotato42
  486  0.109957  TEMOX1
  487  0.109486  LargeEpicMan
  488  0.109055  skg__
  489  0.108996  Tax_Fraudulence
  490  0.108905  Shidauw
  491  0.108594  RavenTan
  492  0.108559  ShushManWill
  493  0.108538  Pemuz
  494  0.108475  Sifsy
  495  0.108302  ChickenThe1st
  496  0.108206  _Caleb_Water_
  497  0.107781  Husnal
  498  0.107745  Zhryl
  499  0.107684  rroca
  500  0.107503  Brass567
  501  0.107412  Waltaisa
  502  0.107188  Bino_The_Dino1
  503  0.107171  _YAN0U_
  504  0.107014  Koji831
  505  0.107008  AkiraPlaysMid
  506  0.106672  mcSauerbraten
  507  0.106623  _Feijoada_
  508  0.106480  DimenSpace
  509  0.106234  klebty
  510  0.106175  ElRaGuz
  511  0.106066  lumina_svn
  512  0.105935  milktulip
  513  0.105921  Knowledge_Demon
  514  0.105920  Snakeywaters
  515  0.105822  Sloimay
  516  0.105763  TheRoadstr
  517  0.105748  Forrio
  518  0.105692  BetaMineCraft
  519  0.105603  Ksenoks
  520  0.105385  Mr_Fabled
  521  0.105207  Wolxifie
  522  0.104712  DaBaconburger346
  523  0.104607  BUBBLEPROUTEXD
  524  0.104506  ARP303SAW
  525  0.104219  Sive181223
  526  0.103982  Jhanker
  527  0.103890  Hummuslover09
  528  0.103836  Cecilyy
  529  0.103595  ilikekitties1
  530  0.102908  mironstryder
  531  0.102799  IamaVideoGamer
  532  0.102551  richardhammo
  533  0.102527  vHurricane
  534  0.102422  Vader132
  535  0.102411  TowaQt
  536  0.102186  GizzeMisse
  537  0.102131  Malibit
  538  0.102040  N0_S1GNAL
  539  0.101670  ezrajm
  540  0.101652  Cap_Worm
  541  0.101551  Lefort_III
  542  0.101518  _Gnocchi
  543  0.101379  Tisserio
  544  0.101352  LegitHDog420
  545  0.101215  spookyrush
  546  0.101184  Vroemosaurus
  547  0.101027  wSylent
  548  0.101026  venruxxx
  549  0.100871  appurupaai
  550  0.100702  CreeperGhost489
  551  0.100452  Tupajus
  552  0.100237  Mr_ilar
  553  0.100145  olza3007
  554  0.099819  Zoruzero
  555  0.099803  Littlefishy3511
  556  0.099480  Obnoxious_0
  557  0.099461  MightyMan14386
  558  0.099417  EvelynCarrot
  559  0.099385  Hirasawaa3
  560  0.099353  Th_Snipes
  561  0.099293  jerooolaaad
  562  0.099215  M0nkeyMan42
  563  0.099161  Youseff
  564  0.099155  Wiixx
  565  0.099096  BigCyrus
  566  0.098927  lavidaille
  567  0.098813  ScriptoTheCode
  568  0.098808  TheRockingBoss
  569  0.098329  scatCratch
  570  0.098321  RubaanOfzo
  571  0.098220  iHYDT
  572  0.097817  StoolGamer
  573  0.097783  GoogTown
  574  0.097743  Onyxxish
  575  0.097250  MathoX
  576  0.097096  fsen
  577  0.096665  xownfos
  578  0.096534  _TAK0_
  579  0.096530  bjytxsc
  580  0.096189  Tzrkyx
  581  0.095772  NagyNoelka147
  582  0.095310  TenPaper191919
  583  0.095305  No_Hax_Just_Can
  584  0.095205  Ibrahaha
  585  0.095192  Lord_Ender_86
  586  0.095130  WhiteMystery17
  587  0.095061  ClantonHUN
  588  0.094954  BLOOMYCLOUD
  589  0.094937  forbiee
  590  0.094588  Zenoflare
  591  0.094568  Zenira_
  592  0.094536  VoidIntent
  593  0.094308  Easzy37
  594  0.093868  blue_dummy
  595  0.093726  MeNOTby1
  596  0.093427  IchBinBugatti
  597  0.093292  Alirag
  598  0.093156  HenkHaue
  599  0.093032  orlandoYT05
  600  0.092897  B3rgtr0ll
  601  0.092719  potazito
  602  0.092704  Lucigoldi
  603  0.092638  2bxa
  604  0.092386  Lollipopel3000
  605  0.092126  ComboBlade
  606  0.092103  CataractGoonies
  607  0.091941  BustUpBoy12
  608  0.091863  Ghoulish_Gaming
  609  0.091784  _Bunny_King_
  610  0.091452  Nagatow_
  611  0.091451  Mylugyamer
  612  0.091398  Uzochia
  613  0.091391  Incredible_Toast
  614  0.091242  Thisismyname
  615  0.091237  Kojotkp
  616  0.091032  Tyzxd
  617  0.090943  slitno
  618  0.090688  TheFriendlyFoe
  619  0.090676  hiitzhaunted
  620  0.090436  Manjerico
  621  0.090342  akrii
  622  0.090262  MrSaltyCup_YT
  623  0.090250  Laakeri__
  624  0.089950  Chime27
  625  0.089893  BBawesome32
  626  0.089780  mohamany13
  627  0.089773  Bqsko
  628  0.089754  KyZeuR_
  629  0.089733  Markicko
  630  0.089652  TheGHOSTFao
  631  0.089593  MrF1nn
  632  0.089355  G_Proam5658
  633  0.089236  Magyar41
  634  0.089210  ClxHunter
  635  0.089026  Spiged
  636  0.088846  EdOGrande
  637  0.088754  NupeliX
  638  0.088695  ZukZnilu
  639  0.088461  IgneousPit23
  640  0.088306  Yortsed1
  641  0.088300  Purplers
  642  0.088297  MajkMajkosky
  643  0.088229  retroBagel
  644  0.088132  slime_code
  645  0.088053  palicansandwich
  646  0.087980  Roma4ka_
  647  0.087561  ProMeowCat
  648  0.087524  TiredTocan
  649  0.087468  UnstableOs
  650  0.087187  CjBoss
  651  0.087120  Taconinja30
  652  0.087110  Flash8308super
  653  0.087072  Md4kar
  654  0.087009  Kccoaster
  655  0.086999  RandomWill
  656  0.086901  MrChocolatine
  657  0.086880  Mounded1
  658  0.086770  Wedgo
  659  0.086749  FplaysYT
  660  0.086507  GamerAdvay
  661  0.086273  iTriqngle
  662  0.086207  MaTiM8638
  663  0.085827  lunaroseus
  664  0.085758  Power2two
  665  0.085643  Marvigi1GHG
  666  0.085549  Jn_1501
  667  0.085422  BenAteYou
  668  0.085283  nixisawesome
  669  0.085281  Jazura
  670  0.085260  Veidt1
  671  0.085177  1Item
  672  0.085134  Sanicthestrong
  673  0.085004  ZaEnderAzul
  674  0.084834  AKJ912
  675  0.084833  Night_Club
  676  0.084803  ChatChester
  677  0.084781  _Duckyy__
  678  0.084642  DesmondWulf
  679  0.084633  Kbelik
  680  0.084629  Cycyr07
  681  0.084626  Piggyback63
  682  0.084501  oGarfield
  683  0.084417  yusouu
  684  0.084363  DragonYoutuBear
  685  0.084362  Stryker678
  686  0.084305  bigmanthunder_
  687  0.084197  __someguy
  688  0.084157  Redax16
  689  0.084117  Staridium
  690  0.083962  MudKryp
  691  0.083858  3v0r
  692  0.083789  Nieknamedb
  693  0.083763  Messyo
  694  0.083744  KoriSneako
  695  0.083742  MarkedTen
  696  0.083715  BakertheGreat
  697  0.083461  ApheliosIsSchiz0
  698  0.083237  MrMasher111
  699  0.083189  Ixeel
  700  0.082848  Hyjs
  701  0.082679  iceluke
  702  0.082369  Tembalk
  703  0.081990  Nagatow12_
  704  0.081956  bananaPC4595
  705  0.081841  SL41N
  706  0.081835  plasma2403
  707  0.081805  MegaMaan09
  708  0.081771  Jasiepesie
  709  0.081697  ti_me
  710  0.081578  MaxSL_
  711  0.081566  BaGin_htr
  712  0.081565  pi31415etc
  713  0.081542  eddy396
  714  0.081429  Tatzgi
  715  0.081427  Kaseaki
  716  0.081354  Chunkygoober
  717  0.081186  TabooJavahog
  718  0.081127  MeatBagFranks
  719  0.081106  NinjaYody
  720  0.081078  alephxerp
  721  0.081072  Akei609
  722  0.080967  sph2012
  723  0.080917  TrueApex1631
  724  0.080826  LeLargestLad
  725  0.080753  Glitty_Kitty
  726  0.080745  Artifroa
  727  0.080692  Sonta84
  728  0.080558  Ninou368
  729  0.080491  illiumIV
  730  0.080424  Romillon
  731  0.080396  cchewies
  732  0.080245  cSaleh
  733  0.079991  PieSamurai
  734  0.079909  yuxulu
  735  0.079850  3craft
  736  0.079831  dummyf1sh
  737  0.079826  Miksstter
  738  0.079801  Vjoueur
  739  0.079676  B2ueish
  740  0.079642  MagiMaster101
  741  0.079485  badboyfratchad
  742  0.079445  CookieDohhh
  743  0.079324  Titime_
  744  0.079307  axob
  745  0.079212  Juno9306
  746  0.079146  Janekowskii
  747  0.079132  Baptisdoof
  748  0.078819  MrOriginal
  749  0.078773  Saiichiro_
  750  0.078769  Lauselino
  751  0.078766  MikeTheFatMan
  752  0.078744  Wojtek64
  753  0.078684  Baackk
  754  0.078670  smallMAN48
  755  0.078661  SkearDeerGYT
  756  0.078580  Compact_Storm
  757  0.078514  Renokas2
  758  0.078508  shleave
  759  0.078490  Sulfu_One
  760  0.078137  Jujello
  761  0.077928  zPug
  762  0.077795  The_Employee1225
  763  0.077687  Literal_Tomato
  764  0.077630  Risa237
  765  0.077564  BLAZXENO
  766  0.077436  SimoneDN10
  767  0.077327  vxiio
  768  0.077268  Tsukissan
  769  0.077181  Smycos51
  770  0.077148  NiftyAcorn31239
  771  0.077077  Double_bigmac
  772  0.077059  WateryMayonaise
  773  0.077009  Samuel1FC
  774  0.076854  XDelta_SkullX
  775  0.076747  SteLeague
  776  0.076686  WR_Blue
  777  0.076514  CookieAlien25
  778  0.076481  Szymerlak
  779  0.076345  ambero
  780  0.076345  Stormyzz_
  781  0.076210  TheFox580
  782  0.076201  JamesAsExpected
  783  0.076082  Filipen17
  784  0.075869  Derpidy_Derp
  785  0.075848  Aspiry
  786  0.075838  Pipopu
  787  0.075694  KimiAntonelli
  788  0.075596  kongal_
  789  0.075432  Gobe28
  790  0.075389  Ez4geni
  791  0.075382  PauloCatwalker
  792  0.075120  vJaap
